in2006,433279,453525,518041,539636,516238,502267,498441,561531,537091,578061,521265,495671
in2007,436461,469937,529708,531517,524629,523509,527772,584759,557825,646106,562287,553730
in2008,485069,530489,592515,569835,570224,539839,568446,580894,587853,650504,579022,636151
in2009,607659,666928,724117,688586,574559,530506,609258,695880,678691,737373,642672,661304
in2010,569453,638911,769894,730265,729450,718440,754672,833693,764693,872550,738271,677366
in2011,586152,667089,781286,754458,743464,795850,881809,977296,906813,988320,869876,842383
in2012,753793,810967,916357,967593,942602,946333,1009225,1103311,986961,1025705,842189,834992
in2013,753655,815037,1010809,972164,919355,1059082,1205152,1358909,1156913,1087974,907901,928599
in2014,842671,886026,1132155,1251374,1239606,1273627,1354753,1454078,1245777,1317482,1117398,1086569
in2015,917054,1050706,1238144,1384567,1334212,750925,629737,1069314,1206764,1383704,1150074,1116450
out2006,985287,944596,823918,855083,906482,915942,1098740,1159874,931946,984649,987488,1015874
out2007,1281530,982591,1046055,989018,1107498,1064076,1297398,1308664,1015650,1078092,1072557,1081848
out2008,1322909,1132463,983589,1026750,1099977,1004715,1135843,1163809,818747,932716,707012,667564
out2009,812901,753642,702043,734681,737396,731137,996695,1041527,658487,714880,721940,888782
out2010,1118261,908103,950185,935904,1023815,997597,1223723,1235742,1013123,1055581,1004902,1021428
out2011,1268007,1091628,868694,867487,1014409,1053658,1241629,1247222,1013507,1032589,974255,1020648
out2012,1200782,1150334,1018952,1018645,1096950,1109273,1305418,1334651,1059709,1154742,1117550,1169970
out2013,1425900,1184807,1113946,1097420,1185405,1221491,1417422,1407186,1195238,1239143,1154064,1204463
out2014,1468903,1312683,1150959,1179885,1223003,1270439,1454795,1547193,1321293,1432100,1288754,1430677
out2015,1834538,1445609,1416683,1495460,1579265,1373551,1675332,1835249,1511657,1735308,1626063,1781715
